"","subcontinente","topic","value"
"447","Asia del Sur","Topic34",0.984667703891472
"448","Asia del Sur","Topic94",-0.3959571317375
"449","Asia del Sur","Topic30",0.127100401192116
"450","Asia del Sur","Topic81",-0.312150309478035
"451","Asia del Sur","Topic33",0.0940410829193973
"452","Asia del Sur","Topic58",0.840325428083415
"453","Asia del Sur","Topic22",-0.498446254605246
"454","Asia del Sur","Topic10",-0.344850424868176
"455","Asia del Sur","Topic57",-0.220219783108617
"456","Asia del Sur","Topic11",0.169036964190829
"457","Asia del Sur","Topic09",-0.15439156748331
"458","Asia del Sur","Topic54",0.233314754054926
"459","Asia del Sur","Topic91",-0.157220655094291
"460","Asia del Sur","Topic90",-0.309792609198609
"461","Asia del Sur","Topic23",0.216268946707548
"462","Asia del Sur","Topic17",0.00907694834569795
"463","Asia del Sur","Topic55",0.128446747548981
"464","Asia del Sur","Topic62",-0.202840859754855
"465","Asia del Sur","Topic74",-0.483783047462348
"466","Asia del Sur","Topic32",-0.542044946675723
"467","Asia del Sur","Topic07",-0.0966685003763404
"468","Asia del Sur","Topic92",0.228217912291955
"469","Asia del Sur","Topic73",-0.419684770548382
"470","Asia del Sur","Topic19",-0.508045339258115
"471","Asia del Sur","Topic41",0.0282014659754521
"472","Asia del Sur","Topic06",-0.0104827452334125
"473","Asia del Sur","Topic63",-0.337561166879404
"474","Asia del Sur","Topic08",1.49522679282429
"475","Asia del Sur","Topic12",0.0755720871115652
"476","Asia del Sur","Topic03",-0.405619710036319
"477","Asia del Sur","Topic52",-0.367277774466455
"478","Asia del Sur","Topic43",0.0869046658106949
"479","Asia del Sur","Topic21",-0.0866225314489052
"480","Asia del Sur","Topic96",-0.0971905708641204
"481","Asia Occidental","Topic80",-0.279362306868759
"482","Asia Occidental","Topic38",-0.19627225657871
"483","Asia Occidental","Topic36",-0.0226114273728462
"484","Asia Occidental","Topic18",-0.465332535185268
"485","Asia Occidental","Topic87",0.134162235344334
"486","Asia Occidental","Topic04",-0.27072471561563
"487","Asia Occidental","Topic37",0.26635646744648
"488","Asia Occidental","Topic16",-0.559808088422225
"489","Asia Occidental","Topic99",-0.537297486914253
"490","Asia Occidental","Topic60",-0.269368075122044
"491","Asia Occidental","Topic78",0.280354556336474
"492","Asia Occidental","Topic97",-0.118452132060064
"493","Asia Occidental","Topic95",-0.468013616040617
"494","Asia Occidental","Topic59",0.699189086023604
"495","Asia Occidental","Topic34",0.335934599164517
"496","Asia Occidental","Topic94",0.433670992011096
"497","Asia Occidental","Topic30",0.210683114026482
"498","Asia Occidental","Topic81",0.550066960186919
"499","Asia Occidental","Topic33",0.541016847459777
"500","Asia Occidental","Topic58",-0.143086442608806
"501","Asia Occidental","Topic22",-0.226983847116716
"502","Asia Occidental","Topic10",0.664002867472448
"503","Asia Occidental","Topic57",-0.264985698693892
"504","Asia Occidental","Topic11",-0.298686428116699
"505","Asia Occidental","Topic09",-0.270625496463169
"506","Asia Occidental","Topic54",-0.799307695489331
"507","Asia Occidental","Topic91",0.659717151033679
"508","Asia Occidental","Topic90",0.0873375378979917
"509","Asia Occidental","Topic23",0.517599694133908
"510","Asia Occidental","Topic17",0.0962575640672839
"511","Asia Occidental","Topic55",-0.730300541781117
"512","Asia Occidental","Topic62",-0.194693367754929
"513","Asia Occidental","Topic74",-0.191262694876988
"514","Asia Occidental","Topic32",0.0638104108766988
"515","Asia Occidental","Topic07",0.391509858532233
"516","Asia Occidental","Topic92",-0.175001295603999
"517","Asia Occidental","Topic73",0.321378139134969
"518","Asia Occidental","Topic19",-6.63101723694432e-05
"519","Asia Occidental","Topic41",0.276218480953148
"520","Asia Occidental","Topic06",0.175205598392261
"521","Asia Occidental","Topic63",0.395469623027243
"522","Asia Occidental","Topic08",-0.475876267124784
"523","Asia Occidental","Topic12",0.554655487741788
"524","Asia Occidental","Topic03",0.116816246783815
"525","Asia Occidental","Topic52",-0.345649253335073
"526","Asia Occidental","Topic43",-0.586367122287784
"527","Asia Occidental","Topic21",-0.593628509321394
"528","Asia Occidental","Topic96",-0.337751624698575
"529","Asia Oriental","Topic80",-0.18781064329813
"530","Asia Oriental","Topic38",0.0513039635904812
"531","Asia Oriental","Topic36",-0.481541030091563
"532","Asia Oriental","Topic18",0.214387645303052
"533","Asia Oriental","Topic87",0.656377083085442
"534","Asia Oriental","Topic04",0.0456181550963726
"535","Asia Oriental","Topic37",0.196143328626446
"536","Asia Oriental","Topic16",-0.0360743944197124
"537","Asia Oriental","Topic99",-0.0412496773433338
"538","Asia Oriental","Topic60",0.0834094615262933
"539","Asia Oriental","Topic78",-0.139070332104241
"540","Asia Oriental","Topic97",0.420432539999216
"541","Asia Oriental","Topic95",-0.381455437480807
"542","Asia Oriental","Topic59",0.339742833306647
"543","Asia Oriental","Topic34",-0.395669061142823
"544","Asia Oriental","Topic94",-0.166745066955387
"545","Asia Oriental","Topic30",0.0975096173057999
"546","Asia Oriental","Topic81",-0.0491163344586512
"547","Asia Oriental","Topic33",0.0817676667662501
"548","Asia Oriental","Topic58",-0.0831981845794968
"549","Asia Oriental","Topic22",-0.126966739123166
"550","Asia Oriental","Topic10",-0.328274216582024
"551","Asia Oriental","Topic57",-0.342118251307378
"552","Asia Oriental","Topic11",0.236018512512935
"553","Asia Oriental","Topic09",0.881325696788532
"554","Asia Oriental","Topic54",-0.198855819746705
"555","Asia Oriental","Topic91",-0.219734952226086
"556","Asia Oriental","Topic90",1.00637504499544
